epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11013,1.86795,1.97693,1.60566,0.48018,0.42525,0.41282,0.18275,1.90679,1.91019,1.60262,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,11405.5,1.86433,1.96106,1.58801,0.50187,0.42053,0.42413,0.18772,1.89248,1.91134,1.58756,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,11806.1,1.8546,1.95989,1.58697,0.5148,0.42184,0.42284,0.18901,1.89581,1.89421,1.58037,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,12199.8,1.84276,1.93829,1.58516,0.50534,0.41763,0.41868,0.1894,1.87858,1.88611,1.58535,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,12597.2,1.84163,1.91986,1.58113,0.51786,0.42814,0.42844,0.19189,1.88638,1.87186,1.58363,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,12997,1.8323,1.91369,1.56932,0.51188,0.43025,0.42741,0.19409,1.89013,1.87369,1.58301,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,13393,1.82382,1.89144,1.55929,0.50767,0.42911,0.43029,0.19403,1.8905,1.86017,1.58181,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,13788.6,1.82197,1.88069,1.55684,0.52135,0.43104,0.44283,0.20199,1.88148,1.84562,1.57771,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,14184.3,1.81532,1.87787,1.55901,0.53608,0.42155,0.4438,0.20174,1.89189,1.83541,1.57467,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,14587.3,1.81341,1.84917,1.55277,0.53862,0.42339,0.44343,0.20288,1.8831,1.82831,1.57151,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,14986.9,1.79047,1.83486,1.5418,0.54128,0.43082,0.44925,0.20529,1.88349,1.8178,1.57029,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,15381.9,1.79263,1.83711,1.53966,0.54394,0.42986,0.45513,0.20743,1.88011,1.81601,1.56625,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,15782,1.79042,1.81631,1.53671,0.55642,0.42668,0.45351,0.20727,1.87572,1.81937,1.56871,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,16177.6,1.77716,1.79381,1.53015,0.55043,0.43741,0.45994,0.21089,1.87911,1.8059,1.56712,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,16567.5,1.76761,1.78269,1.52355,0.55716,0.42909,0.45428,0.20983,1.87734,1.79667,1.56475,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,16965.6,1.7737,1.78404,1.52368,0.56731,0.43195,0.45569,0.20942,1.88118,1.79484,1.56517,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,17363.4,1.75707,1.76206,1.51767,0.54788,0.43911,0.45696,0.20968,1.87605,1.78914,1.5652,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,17760.5,1.75646,1.76229,1.51285,0.57155,0.43566,0.46286,0.21221,1.87405,1.78736,1.56552,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,18163.8,1.7529,1.75166,1.508,0.55323,0.44332,0.46352,0.21476,1.87195,1.78447,1.56215,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,18573.4,1.71982,1.61624,1.4938,0.54406,0.45078,0.46283,0.21338,1.88278,1.78819,1.56817,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,18972.8,1.71179,1.61095,1.49108,0.54919,0.45033,0.4639,0.21592,1.88168,1.78241,1.56995,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,19370.3,1.69875,1.58315,1.48,0.5547,0.44093,0.4651,0.21589,1.88765,1.77866,1.56752,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,19772.5,1.69103,1.56546,1.47409,0.56756,0.44601,0.46898,0.21802,1.88491,1.76892,1.56499,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,20230.4,1.68555,1.55088,1.46862,0.55845,0.44609,0.46641,0.21641,1.89675,1.77115,1.57114,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,20649.3,1.67761,1.53899,1.46411,0.54596,0.45391,0.46502,0.21796,1.8955,1.77074,1.57286,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,20947.3,1.66271,1.51579,1.4564,0.54706,0.4537,0.46484,0.21838,1.89798,1.76743,1.57514,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,21247.1,1.66367,1.51563,1.45553,0.55613,0.44616,0.46719,0.21755,1.89909,1.76569,1.57503,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,21545.2,1.65366,1.50718,1.44897,0.56991,0.43703,0.46656,0.21666,1.90106,1.76517,1.57756,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,21841,1.64906,1.4934,1.4455,0.56935,0.43701,0.46589,0.21569,1.90063,1.76746,1.57863,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
